price,num_bedrooms,num_bathrooms,size_sqft,rate_per_sqft,lat,long,amenities__num_parking,amenities__pet_friendly,amenities__furnished,amenities__air_conditioning,amenities__smoking_permitted,amenities__barrier_free_entrances_ramps,amenities__visual_aids,amenities__accessible_washrooms_in_suite,amenities__heat,amenities__hydro,amenities__water,amenities__cable_tv,amenities__internet,amenities__laundry_unit,amenities__laundry_building,amenities__dishwasher,amenities__fridge_freezer,amenities__yard,amenities__balcony,amenities__building_security,amenities__building_elevator,amenities__building_gym,amenities__bycycle_parking,amenities__storage_space,agreement_type_encoded,days_until_move_in
1695.0,1.0,1.0,700.0,2.42,44.66206845,-63.603666640279656,1.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,0,71
1995.0,1.0,1.0,500.0,3.99,44.6289805,-63.57143265303551,0.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,0,19
1995.0,1.0,1.0,500.0,3.99,44.6363873,-63.5714114,0.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,0,19
1795.0,1.0,1.0,1.0,1795.0,44.65140385,-63.59537717216418,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,0,19
1895.0,1.0,1.0,790.0,2.4,44.7252049,-63.7483418,0.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,0,158
1995.0,1.0,1.5,1010.0,1.98,44.7252049,-63.7483418,0.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,0,188
2600.0,2.0,1.0,500.0,5.2,44.636464450000005,-63.57909685116186,0.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,0,35
3900.0,3.0,3.0,1700.0,2.29,44.63507515,-63.574390588106766,0.0,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0,158
2095.0,2.0,1.0,861.0,2.43,44.77038625,-63.69473045,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,35
2695.0,2.0,2.0,976.0,2.76,44.64372135,-63.57006350642538,0.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,0,35
2050.0,2.0,1.0,500.0,4.1,44.6532985,-63.6484826,1.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,0,5
2110.0,2.0,2.0,945.0,2.23,44.6537695,-63.62287217446834,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0,5
2075.0,1.0,1.0,510.0,4.07,44.658992,-63.5978962,0.0,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,0,5
1595.0,1.0,1.0,600.0,2.66,44.6582188,-63.6419702,1.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,35
2250.0,2.0,1.0,680.0,3.31,44.6607592,-63.6315154,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5
2275.0,2.0,2.0,1300.0,1.75,44.6482946,-63.6566178,1.0,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,False,True,0,96
2300.0,2.0,1.0,1050.0,2.19,44.6450958,-63.6178613,1.0,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,0,5
2075.0,1.0,1.0,729.0,2.85,44.6527995,-63.5861992,0.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,0,35
2950.0,2.0,2.0,1045.0,2.82,44.6524759,-63.58627760090576,0.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,0,35
2549.0,2.0,1.0,1129.0,2.26,44.6568855,-63.6488543,0.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,0,35
2695.0,2.0,2.0,1382.0,1.95,44.673302,-63.60897528153057,0.0,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,0,35
1995.0,2.0,2.0,500.0,3.99,44.6423244,-63.5787847,0.0,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,True,False,0,35
1612.0,1.0,1.0,500.0,3.22,44.6363873,-63.5714114,0.0,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0,35
1995.0,1.0,1.0,500.0,3.99,44.6434661,-63.580026,0.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,35
1995.0,1.0,1.0,500.0,3.99,44.6289805,-63.57143265303551,0.0,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0,35
1995.0,2.0,1.0,500.0,3.99,44.6289805,-63.57143265303551,0.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,0,35
2061.0,2.0,1.0,500.0,4.12,44.655507,-63.62425972067901,1.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,True,0,35
